"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","EL","Greece",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","ES","Spain",2.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","FI","Finland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","FR","France",2.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","HU","Hungary",5.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","IE","Ireland",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","IT","Italy",3.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","MT","Malta",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","NL","Netherlands",6.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","NO","Norway",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","PL","Poland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","RO","Romania",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2004","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","AT","Austria",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","BG","Bulgaria",4.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","DE","Germany",3.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","EL","Greece",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","ES","Spain",3.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","FI","Finland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","FR","France",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","IE","Ireland",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","IT","Italy",5.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","MT","Malta",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","NL","Netherlands",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","NO","Norway",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","PL","Poland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","RO","Romania",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2005","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","AT","Austria",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","BE","Belgium",3.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","DE","Germany",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","EL","Greece",5.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","ES","Spain",3.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","FI","Finland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","FR","France",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","IT","Italy",4.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","MT","Malta",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","NO","Norway",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","PL","Poland",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","PT","Portugal",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","RO","Romania",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2006","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","AT","Austria",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","CY","Cyprus",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","DE","Germany",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","EL","Greece",3.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","ES","Spain",3.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","FI","Finland",1.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","FR","France",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","I - 'susceptible, increased exposure' isolates ","N","2007","HU","Hungary",0.000000000,""
